R51f_tal,1.15+/-0.33
R26f_mcl,0.015+/-0.011
R02f_pgi,0.36+/-0.05
R49f_rpi,2.3+/-0.7
R45f_dev,(3.5+/-1.4)e+03
R12f_aco_1,0.023+/-0.006
R03_pfk,42.1+/-4.6
R01f_hex,50.7+/-4.4
R54f_pcc,3.4+/-2.0
R07f_pgk,43.5+/-3.6
R17r_sdh,(2.4+/-1.2)e+04
R50f_tkt1,2.2+/-0.8
R24f_mcs,(2.6+/-1.3)e+03
R55f_mcm,21.2+/-16.9
R20f_kgd,13.7+/-10.0
R05f_tpi,0.107+/-0.021
R21f_gab,(2.0+/-0.5)e+02
R48f_rpe,3.9+/-1.7
R13f_aco_2,5.6+/-1.4
R06f_gpd,0.70+/-0.04
R04f_fba,0.00071+/-0.00009
R20f_mez,0.037+/-0.009
R52f_tkt2,7.7+/-3.0
R08f_eno,0.65+/-0.05
R23f_mls,(8.7+/-2.7)e+02
R22af_icl1,0.018+/-0.006
R14f_idh1,0.095+/-0.026
R47f_gnd2,0.050+/-0.013
R11f_cis,(1.24+/-0.09)e+03
R53_frd,(4.2+/-2.2)e-05
R19f_pcx,4.02+/-0.32
R15f_scs,0.84+/-0.13
R10_pyd,(1.2+/-0.4)e+02
R17f_fum,11.7+/-0.9
R18f_mdh,0.00517+/-0.00024
R25f_mcd,1.000111076+/-0.000000024
R43_fbp,7.0+/-0.8
R44f_zwf,1.11+/-0.20
R09_pyk,149.9+/-11.8
R28f_pck,22.0+/-8.1
